,Title,Datetime,Source,URL
0,"Kansas woman with 15% survival rate, recovers from COVID-19 | Charlotte Observer",2020-07-03T04:02:00.0000000Z,Charlotte Observer,https://www.charlotteobserver.com/news/article243953777.html
1,Low-cost drug may improve survival rate of COVID-19 patients on ventilators,2020-06-16T14:43:00.0000000Z,CNET,https://www.cnet.com/health/low-cost-drug-improves-survival-rate-of-patients-with-severe-covid-19-researchers-say/
2,Baptist Health continues to have hospital beds available amid increase in COVID-19 cases in Jacksonville,2020-07-02T01:55:00.0000000Z,First Coast News,https://www.firstcoastnews.com/video/news/health/coronavirus/baptist-health-continues-to-have-hospital-beds-available-amid-increase-in-covid-19-cases-in-jacksonville/77-60827f07-3bf5-4065-969d-2f1743417c7b
3,Cheap drug is first shown to improve COVID-19 survival,2020-06-16T20:15:00.0000000Z,MSN,https://www.msn.com/en-us/health/medical/cheap-drug-is-first-shown-to-improve-covid-19-survival/ar-BB15yPGk
4,Inexpensive steroid 1st shown to improve COVID-19 survival,2020-06-16T21:24:00.0000000Z,Las Vegas Review-Journal,https://www.reviewjournal.com/news/nation-and-world/inexpensive-steroid-1st-shown-to-improve-covid-19-survival-2054434/
5,The Patient Experience – COVID pandemic fears and solutions,2020-06-15T21:17:00.0000000Z,CustomerThink,https://customerthink.com/the-patient-experience-covid-pandemic-fears-and-solutions/
6,"Covid-19: AKU, HSA join hands to improve treatment standards for patients",2020-06-18T00:00:00.0000000Z,MSN,https://www.msn.com/en-xl/news/other/covid-19-aku-hsa-join-hands-to-improve-treatment-standards-for-patients/ar-BB15GElS
7,COVID-19 hit rural hospitals in a different way; we all need to prepare now for what’s next,2020-06-13T05:09:00.0000000Z,Modern Healthcare,https://www.modernhealthcare.com/opinion-editorial/covid-19-hit-rural-hospitals-different-way-we-all-need-prepare-now-whats-next
8,What ICU doctors have learned about COVID-19 — and how they're prepared for a 2nd wave,2020-06-13T10:56:00.0000000Z,NBC News,https://www.nbcnews.com/health/health-news/what-icu-doctors-have-learned-about-covid-19-how-they-n1225801
9,Covid-19 pandemic forces hospitals to scale up,2020-06-11T22:20:00.0000000Z,Hindustan Times,https://www.hindustantimes.com/india-news/covid-19-pandemic-forces-hospitals-to-scale-up/story-7iRDBFUC4V5Xk9SgNA6fxM.html
10,Bill to require hospitals to allow visitors despite COVID-19 passes (after being stripped of requirement),2020-06-12T04:13:00.0000000Z,KUSA,https://www.9news.com/article/news/local/next/bill-to-require-hospitals-to-allow-visitors-despite-covid-19-passes-after-being-stripped-of-requirement/73-6f5592be-9b28-48a9-93e3-47765131b60c
11,"Colorado coronavirus cases increase by 175 infections, 9 deaths",2020-06-12T22:51:00.0000000Z,The Denver Post,https://www.denverpost.com/2020/06/12/colorado-covid-coronavirus-cases-june-12/
12,"Colorado coronavirus cases increase by 195, with no new deaths due to COVID-19",2020-06-13T22:58:00.0000000Z,The Denver Post,https://www.denverpost.com/2020/06/13/colorado-covid-coronavirus-cases-june-13/
13,UK continuing drug trials to improve on COVID-19 steroid treatment,2020-06-16T16:58:00.0000000Z,Reuters,https://www.reuters.com/article/us-health-coronavirus-steroid-vallance-idUSKBN23N2RY
14,A Teen’s Death From COVID,2020-06-15T10:16:00.0000000Z,Kaiser Health News,https://khn.org/news/a-teens-death-from-covid/
15,"How a Delhi hospital is helping patients fight coronavirus, isolation",2020-06-14T11:25:00.0000000Z,Mint,https://www.livemint.com/news/india/how-a-delhi-hospital-is-helping-patients-fight-coronavirus-isolation-11592132886205.html
