,Title,Datetime,Source,URL
0,"10 more coronavirus patients die in Black Country, Staffordshire and Birmingham",2020-05-17T13:58:06.998+0000,Express & Star,https://www.expressandstar.com/news/health/coronavirus-covid19/2020/05/17/10-more-coronavirus-patients-die-in-black-country-staffordshire-and-birmingham/
1,Coronavirus fight could delay NHS staff appraisals,2020-06-02T17:32:23.477+0000,Shropshire Star,https://www.shropshirestar.com/news/health/coronavirus-covid19/2020/06/02/coronavirus-fight-could-delay-nhs-staff-appraisals/
2,Covid-19 coronavirus: Top intensive care doctor admits he is scared,2020-03-23T20:46:36.671+0000,New Zealand Herald,https://www.nzherald.co.nz/nz/news/article.cfm?c_id=1&objectid=12319273
3,COVID-19 Call Center is the Place for Grays Harbor Residents to Ask Questions,2020-03-24T19:16:47.913+0000,graysharbortalk.com/,http://www.graysharbortalk.com/2020/03/24/covid-19-call-center-is-the-place-for-grays-harbor-residents-to-ask-questions/
4,GP referrals drop across Black Country and Staffordshire,2020-05-27T05:08:59.719+0000,Express & Star,https://www.expressandstar.com/news/health/coronavirus-covid19/2020/05/27/gp-referrals-drop-across-black-country-and-staffordshire/
5,Coronavirus: Scientists describe how and where to allocate stockpiled ventilators during a pandemic,2020-03-22T09:06:45.736+0000,The Financial Express,https://www.financialexpress.com/lifestyle/health/coronavirus-scientists-describe-how-and-where-to-allocate-stockpiled-ventilators-during-a-pandemic/1905915/
6,Spain’s mass COVID-19 deaths tipped to surpass Italy,2020-04-10T04:48:50.925+0000,The Daily Telegraph,https://www.dailytelegraph.com.au/news/world/spains-mass-covid19-deaths-tipped-to-surpass-italy/video/9fb1ae3d60504ce8989f5c62adea8088
7,International Medical Corps and MediSys Health Network Hospitals Partner to Respond to COVID-19,2020-04-10T02:23:27.586+0000,PressReleasePoint | Free Press Release Distribution Website | Submit Press Releases,https://www.pressreleasepoint.com/international-medical-corps-and-medisys-health-network-hospitals-partner-respond-covid-19
8,W.H.O declares Europe the new COVID-19 epicentre,2020-03-13T22:32:47.387+0000,The Daily Telegraph,https://www.dailytelegraph.com.au/news/world/who-declares-europe-the-new-covid19-epicentre/video/ef4181c6d42b8ee890c49781f2ea971a
9,W.H.O declares Europe the new COVID-19 epicentre,2020-03-13T22:01:31.228+0000,Herald Sun,https://www.heraldsun.com.au/news/world/who-declares-europe-the-new-covid19-epicentre/video/ef4181c6d42b8ee890c49781f2ea971a
10,US Army Reserve FEST members assist USACE’s COVID19 response projects for Navajo Nation,2020-05-01T03:38:06.111+0000,DVIDS,https://www.dvidshub.net/news/368960/us-army-reserve-fest-members-assist-usaces-covid19-response-projects-navajo-nation
11,Zensors Offers AI Platform to Assist Cities & Businesses with Social Distancing Compliance for COVID-19,2020-03-19T02:13:07.883+0000,getnews.info/,http://www.getnews.info/1015875/zensors-offers-ai-platform-to-assist-cities-businesses-with-social-distancing-compliance-for-covid19.html
12,Medela opens New Production Line in the US and more than Triples Production in Switzerland of Critical Portable Suction Systems Aiding Hospital Ventilator Support and Patients with COVID-19,2020-05-19T00:02:37.013+0000,Finanzen.net GmbH,https://www.finanzen.ch/nachrichten/aktien/medela-opens-new-production-line-in-the-us-and-more-than-triples-production-in-switzerland-of-critical-portable-suction-systems-aiding-hospital-ventilator-support-and-patients-with-covid-19-1029212779
13,International Medical Corps and Vista Medical Center East Partner to Respond to COVID-19 Surge,2020-04-16T23:21:44.089+0000,Finanzen.net GmbH,https://www.finanzen.ch/nachrichten/aktien/international-medical-corps-and-vista-medical-center-east-partner-to-respond-to-covid-19-surge-1029100474
14,Coronavirus patients taking remdesivir are 65% more likely to see their condition improve by day 11,2020-06-01T17:20:49.717+0000,The Daily Mail,https://www.dailymail.co.uk/news/article-8377141/Coronavirus-patients-taking-remdesivir-65-likely-condition-improve-day-11.html?ns_mchannel=rss&ito=1490&ns_campaign=1490
15,"Singapore to block new visitors from Iran, northern Italy or South Korea as minister warns of new spikes in cases",2020-03-03T09:41:02.231+0000,Channel News Asia (Singapore),https://www.channelnewsasia.com/news/singapore/covid19-coronavirus-lawrence-wong-iran-korea-italy-checkpoints-12494744?cid=cna_flip_070214
16,Grays Harbor Health Officer Orders COVID-19 Testing be Prioritized,2020-03-30T14:37:11.286+0000,graysharbortalk.com/,http://www.graysharbortalk.com/2020/03/30/grays-harbor-health-officer-orders-covid-19-testing-be-prioritized/
17,Medela opens New Production Line in the US and more than Triples Production in Switzerland of Critical Portable Suction Systems Aiding Hospital Ventilator Support and Patients with COVID-19,2020-05-19T07:30:12.172+0000,Finanzen.net GmbH,https://www.finanzen.ch/nachrichten/aktien/medela-opens-new-production-line-in-the-us-and-more-than-triples-production-in-switzerland-of-critical-portable-suction-systems-aiding-hospital-ventilator-support-and-patients-with-covid-19-1029213471
18,Omnicell introduces innovative COVID-19 Item Forecast Report to help healthcare staff on global pandemic frontline,2020-05-22T18:31:11.440+0000,bdaily.co.uk/,https://bdaily.co.uk/articles/2020/05/22/omnicell-introduces-innovative-covid-19-item-forecast-report-to-help-healthcare-staff-on-global-pandemic-frontline
19,Grays Harbor Public Health Opens Bi-Lingual Information Line to Answer Questions About COVID-19,2020-03-23T19:14:13.769+0000,graysharbortalk.com/,http://www.graysharbortalk.com/2020/03/23/grays-harbor-public-health-opens-bi-lingual-information-line-to-answer-questions-about-covid-19/
20,Coronavirus: Nordic authorities use tech in fight against Covid-19,2020-04-15T10:56:48.142+0000,ComputerWeekly.com,https://www.computerweekly.com/news/252481624/Coronavirus-Nordic-authorities-use-tech-in-fight-against-Covid-19
21,BAPS Charities’ Comprehensive and Global Response to COVID-19,2020-05-08T12:07:41.184+0000,India Web Post,https://www.indiapost.com/baps-charities-comprehensive-and-global-response-to-covid-19/
22,UK patients will trial 'promising' Japanese-made Covid-19 drug,2020-05-01T18:20:50.304+0000,London Evening Standard,https://www.standard.co.uk/news/uk/uk-coronavirus-patients-trial-japanese-covid19-drug-a4429731.html
23,Intermountain Healthcare Begins Limited COVID-19 Antibody Testing,2020-05-06T21:19:24.474+0000,releasewire.com/,http://www.releasewire.com/press-releases/intermountain-healthcare-begins-limited-covid-19-antibody-testing-1290060.htm
24,CORRECTING and REPLACING Synergy Laboratories Adds to Its Arsenal of COVID-19 Diagnostic Tools,2020-05-28T21:38:07.993+0000,biotech-365.com/,https://biotech-365.com/correcting-and-replacing-synergy-laboratories-adds-to-its-arsenal-of-covid-19-diagnostic-tools/
25,CORONAVIRUS: How Italian imported disease into Nigeria,2020-02-28T23:51:17.375+0000,Vanguard,https://www.vanguardngr.com/2020/02/coronavirus-how-italian-imported-disease-into-nigeria/
26,Coronavirus patients taking remdesivir are 65% more likely to see their condition improve by day 11,2020-06-01T17:15:54.297+0000,The Daily Mail,https://www.dailymail.co.uk/news/article-8377141/Coronavirus-patients-taking-remdesivir-65-likely-condition-improve-day-11.html?ns_mchannel=rss&ns_campaign=1490&ito=1490
27,Boston-based startup donates software to healthcare facilities overwhelmed by COVID-19,2020-04-07T19:52:02.242+0000,getnews.info/,http://www.getnews.info/1020924/bostonbased-startup-donates-software-to-healthcare-facilities-overwhelmed-by-covid19.html
28,'Very worrying trends' meant Singapore could not afford to wait any longer before making 'pre-emptive' move: Lawrence Wong,2020-04-03T10:35:58.515+0000,Channel News Asia (Singapore),https://www.channelnewsasia.com/news/singapore/covid19-worrying-trends-could-not-wait-preemptive-12606856?cid=cna_flip_070214
29,Rochester Regional Health Deploys Datos for Remote Monitoring of Patients and Staff at Risk of Coronavirus,2020-03-31T20:51:03.531+0000,source,https://apnews.com/PR%2520Newswire/9a9c95a1afd1de537381048241ce9471
30,Coronavirus Lockdown VI: How India's insurance-led private healthcare cripples its ability to fight COVID-19,2020-04-14T18:58:24.204+0000,businesstoday.in/,https://www.businesstoday.in/current/economy-politics/coronavirus-lockdown-india-health-insurance-private-healthcare-public-hospitals-covid19/story/401003.html
31,Adaptive Biotechnologies and Microsoft expand partnership to decode COVID-19 immune response and provide open data access,2020-03-27T04:29:23.827+0000,thequill.in/,http://thequill.in/2020/03/27/adaptive-biotechnologies-and-microsoft-expand-partnership-to-decode-covid-19-immune-response-and-provide-open-data-access/
32,Ethicists Race to Offer Rules For Deciding Who Lives and Who Dies,2020-03-29T20:31:32.646+0000,undark.org/,https://undark.org/2020/03/29/ethics-covid19-shortages-health-care/
33,Notable People Giving Back During COVID-19 Pandemic,2020-04-09T18:25:16.988+0000,Home,https://www.webwire.com/ViewPressRel.asp?aId=257790
34,Intel commits $50m in pandemic response technology,2020-04-08T10:47:06.416+0000,Siliconrepublic,https://www.siliconrepublic.com/companies/intel-donation-coronavirus-covid19-tech-relief
35,Huawei helps fight coronavirus: diagnostics within 2 minutes with 98% success rate,2020-03-26T10:53:29.289+0000,Giz China,https://www.gizchina.com/2020/03/26/huawei-helps-fight-coronavirus-diagnostics-within-2-minutes-with-98-success-rate/
36,SG startup Biofourmis deploys tech at frontline of COVID-19 battle,2020-03-15T23:46:08.500+0000,dealstreetasia.com/,https://www.dealstreetasia.com/stories/biofourmis-covid19-179838/
37,COVID-19: What Those with Lung Disease Should Know,2020-03-26T13:56:53.514+0000,Finanzen.net GmbH,https://www.finanzen.ch/nachrichten/aktien/covid-19-what-those-with-lung-disease-should-know-1029035716
38,COVID19 Impacted Analysis on Intravesical Bacillus Calmette Market Innovative Strategy by 2025 | Merck | Japan BCG Laboratory | China National Biotec – 3,2020-06-05T07:39:13.842+0000,source,https://3wnews.org/uncategorised/1185420/covid19-impacted-analysis-on-intravesical-bacillus-calmette-market-innovative-strategy-by-2025-merck-japan-bcg-laboratory-china-national-biotec/
39,"COVID19 Impacted Analysis on Bagged Vacuum Cleaner Market Innovative Strategy by 2025 | Dyson , Electrolux , Shark Ninja (Euro-Pro) , Miele , Bissell , Nilfisk , Philips , Bosch , SEB , TTI , Sanitaire , Rubbermaid , Panasonic , Numatic , Karcher , Midea , Haier , Goodway , Pacvac – 3",2020-06-05T16:35:17.988+0000,source,https://3wnews.org/market/1196145/covid19-impacted-analysis-on-bagged-vacuum-cleaner-market-innovative-strategy-by-2025-dyson-electrolux-shark-ninja-euro-pro-miele-bissell-nilfisk-philips-bosch-seb-tti/
40,Digital Medical Officers (Volunteers) at MedicBird Health Services Limited - Nationwide,2020-04-07T18:49:29.519+0000,"Nigerian jobs, Career Portal for Nigerians, Naija Job Listing, Nigerianhotjobs, Hotnigerianjobs, Jobs in Nigeria, Vacancies in Nigeria",https://www.hotnigerianjobs.com/hotjobs/282010/digital-medical-officers-volunteers-at-medicbird-h.html
41,Help Them If You Can—They’re Feeling Down,2020-05-10T15:34:34.581+0000,source,https://www.ehstoday.com/covid19/article/21128639/automakers-shifting-to-produce-ppe-during-covid19-tackle-safety-issues
42,Intermountain Healthcare and U of Utah Health Researchers Launch COVID-19 Clinical Trials to Test Effectiveness of Treatment,2020-04-09T15:32:39.546+0000,releasewire.com/,http://www.releasewire.com/press-releases/intermountain-healthcare-and-u-of-utah-health-researchers-launch-covid-19-clinical-trials-to-test-effectiveness-of-treatment-1286634.htm
43,"UPMC led global trial fast tracks testing of hydroxychloroquine, other COVID-19 therapies",2020-04-09T19:45:43.908+0000,bioengineer.org/,https://bioengineer.org/upmc-led-global-trial-fast-tracks-testing-of-hydroxychloroquine-other-covid-19-therapies/
44,"COVID19 Impacted Analysis on Dental Fitting Market Innovative Strategy by 2025 | Danaher , Dentsply Sirona , Institut Straumann , 3M , ADIN Dental Implant Systems , Align Technology , BioHorizons , OSSTEM IMPLANT , Southern Implants - 3",2020-05-26T11:00:51.310+0000,source,https://3wnews.org/uncategorised/1001133/covid19-impacted-analysis-on-dental-fitting-market-innovative-strategy-by-2025-danaher-dentsply-sirona-institut-straumann-3m-adin-dental-implant-systems-align-technology-biohorizons-os/
45,"UPMC led global trial fast tracks testing of hydroxychloroquine, other COVID-19 therapies",2020-04-09T18:54:40.205+0000,scienmag.com/,https://scienmag.com/upmc-led-global-trial-fast-tracks-testing-of-hydroxychloroquine-other-covid-19-therapies/
46,Covid 19 coronavirus: Lockdown or lockdown lite? Jacinda Ardern's D-Day dilemma explained,2020-04-19T21:45:18.349+0000,New Zealand Herald,https://www.nzherald.co.nz/nz/news/article.cfm?c_id=1&objectid=12325951
47,Information is Power: First Databank Arms Healthcare Professionals and Consumers with COVID-19 Resources They Can Trust,2020-04-09T11:37:19.459+0000,biotech-365.com/,https://biotech-365.com/information-is-power-first-databank-arms-healthcare-professionals-and-consumers-with-covid-19-resources-they-can-trust/
48,Op-Ed: How California's smog alert system could be adapted to fight the coronavirus,2020-04-19T15:31:06.182+0000,Tribune Company,https://www.latimes.com/opinion/story/2020-04-19/smog-alerts-virus-covid
49,Covid 19 coronavirus: Why epidemiologists and economists keep arguing,2020-04-03T22:31:11.265+0000,New Zealand Herald,https://www.nzherald.co.nz/business/news/article.cfm?c_id=3&objectid=12322454
50,"AGS reiterates urgent COVID-19 call for medical supplies, telehealth",2020-04-18T12:26:43.240+0000,scienmag.com/,https://scienmag.com/ags-reiterates-urgent-covid-19-call-for-medical-supplies-telehealth/
51,"AGS reiterates urgent COVID-19 call for medical supplies, telehealth",2020-04-18T17:43:33.124+0000,bioengineer.org/,https://bioengineer.org/ags-reiterates-urgent-covid-19-call-for-medical-supplies-telehealth/
52,Experts Race to Offer Rules For Deciding Who Lives and Who Dies,2020-04-01T05:13:25.325+0000,source,https://undarkstage.wpengine.com/2020/03/29/ethics-covid19-shortages-health-care/
53,Swedish hospitals stop prescribing chloroquine for coronavirus patients after adverse side effects,2020-04-08T11:34:33.872+0000,The Daily Mail,https://www.dailymail.co.uk/news/article-8199477/Swedish-hospitals-stop-prescribing-chloroquine-coronavirus-patients-adverse-effects.html?ns_mchannel=rss&ns_campaign=1490&ito=1490
54,"Malaria drugs’ promise for coronavirus spurs hope, shortages",2020-03-23T22:17:45.766+0000,Stars and Stripes,https://www.stripes.com/news/us/malaria-drugs-promise-for-coronavirus-spurs-hope-shortages-1.623459
55,Medical Sector Reaps the Benefits of Innovative Wearable Devices,2020-06-04T13:51:02.866+0000,PR Newswire,https://www.prnewswire.com/news-releases/medical-sector-reaps-the-benefits-of-innovative-wearable-devices-301070548.html
56,"1,170 cases now linked to inquiry into Shropshire maternity care",2020-04-21T14:29:28.470+0000,Shropshire Star,https://www.shropshirestar.com/news/health/coronavirus-covid19/2020/04/21/1170-cases-now-linked-to-inquiry-into-shropshire-maternity-care/
57,Swedish hospitals stop prescribing chloroquine for coronavirus patients after adverse side effects,2020-04-08T10:49:02.607+0000,The Daily Mail,https://www.dailymail.co.uk/news/article-8199477/Swedish-hospitals-stop-prescribing-chloroquine-coronavirus-patients-adverse-effects.html?ns_mchannel=rss&ito=1490&ns_campaign=1490
58,Coronavirus: What's happening in Canada and around the world Tuesday,2020-03-31T20:00:13.453+0000,Canadian Broadcasting Corporation,https://www.cbc.ca/news/canada/coronavirus-covid19-march31-canada-world-1.5514497
59,Coronavirus Analysis: Will Social Distancing Help Prevent the Spread?,2020-03-24T07:49:23.266+0000,analyticsvidhya.com/,https://www.analyticsvidhya.com/blog/2020/03/coronavirus-analysis-will-social-distancing-help-prevent-the-spread/
60,"Malaria drugs’ promise for coronavirus spurs hope, shortages",2020-03-23T20:50:19.729+0000,source,https://chicago.suntimes.com/coronavirus/2020/3/23/21191588/malaria-drugs-coronavirus-covid-19-testing
61,The U.S. needs to manufacture more CPAP machines - STAT,2020-05-01T11:10:50.521+0000,statnews.com/,https://www.statnews.com/2020/05/01/building-cpap-machines-us-supply-chain/
62,Advantage Dental from DentaQuest Launches 24-Hour Dental Consultation Hotline for Residents of Oregon,2020-04-10T07:47:49.696+0000,Business Wire,https://www.businesswire.com/news/home/20200409005723/en/Advantage-Dental-DentaQuest-Launches-24-Hour-Dental-Consultation
63,FNB confirms measures to help customers impacted by COVID-19,2020-03-30T14:12:55.814+0000,Cape Business News,https://www.cbn.co.za/featured/fnb-confirms-measures-to-help-customers-impacted-by-covid-19/
64,What do we know about hydroxychloroquine?,2020-05-19T12:28:37.949+0000,The Daily Mail,https://www.dailymail.co.uk/news/article-8335027/What-know-hydroxychloroquine.html?ns_mchannel=rss&ns_campaign=1490&ito=1490
65,The Mental Health Ramifications We Expected for Doctors Are Here Now,2020-05-01T18:18:01.159+0000,source,https://slate.com/technology/2020/05/mental-health-care-doctors.html?via=rss
66,Small study of patients with severe COVID-19 treated with the arthritis drug anakinra finds clinical improvements,2020-05-08T07:55:25.613+0000,medicalxpress.com/,https://medicalxpress.com/news/2020-05-small-patients-severe-covid-arthritis.html
67,P&G Joins Forces with the Red Cross and Red Crescent Network to Provide Emergency Relief and Serve European Communities During COVID-19 Pandemic,2020-03-27T15:38:28.603+0000,biotech-365.com/,https://biotech-365.com/pg-joins-forces-with-the-red-cross-and-red-crescent-network-to-provide-emergency-relief-and-serve-european-communities-during-covid-19-pandemic/
68,IITs: A unique education system model of India that stood the test of time,2020-05-19T09:23:34.976+0000,The Financial Express,https://www.financialexpress.com/jobs/iits-a-unique-education-system-model-of-india-that-stood-the-test-of-time/1963836/
