,Title,Datetime,Source,URL,Search
0,ExamMed Free Telemedicine As A Timely Solution For Doctors Amid Coronavirus Concerns,2020-03-03 16:39:00 UTC,WFMZ-TV,https://www.wfmz.com/news/pr_newswire/pr_newswire_technology/exammed-free-telemedicine-as-a-timely-solution-for-doctors-amid/article_a3751002-d1f3-5521-bfe6-c423c0d23b6e.html,doctors coronavirus solution
1,Doctors fighting coronavirus turn to mobile dialysis machines to solve shortage of life-saving kit,2020-05-06 02:27:00 UTC,Evening Standard,https://www.standard.co.uk/news/health/doctors-fighting-coronavirus-dialysis-machines-a4433406.html,doctors coronavirus solve
2,News of death by phone: Doctors struggle to adapt to coronavirus reality,2020-04-10 09:17:00 UTC,Tribune News Service on MSN.com,https://www.msn.com/en-us/health/medical/news-of-death-by-phone-doctors-struggle-to-adapt-to-coronavirus-reality/ar-BB12r8Xs,doctors coronavirus adapt
3,News of death should not come by phone. Doctors struggle to adapt to coronavirus reality,2020-04-10 05:34:00 UTC,The Bakersfield Californian,https://www.bakersfield.com/ap/national/news-of-death-should-not-come-by-phone-doctors-struggle-to-adapt-to-coronavirus-reality/article_1d19bcaa-d978-59ea-8698-8711abb5ab73.html,doctors coronavirus adapt
4,Demand for telemedicine has exploded in the UK as doctors adapt to the coronavirus crisis,2020-04-08 22:23:00 UTC,CNBC,https://www.cnbc.com/2020/04/09/telemedecine-demand-explodes-in-uk-as-gps-adapt-to-coronavirus-crisis.html,doctors coronavirus adapt
5,Doctors are seeing patients online during coronavirus — and it could change medicine forever,2020-06-03 17:00:00 UTC,MSN,https://www.msn.com/en-us/news/us/doctors-are-seeing-patients-online-during-coronavirus-%E2%80%94-and-it-could-change-medicine-forever/ar-BB12eGhx,doctors coronavirus change
6,"Bankruptcies, tech-savvy doctors, and data for the greater good: The CEO of health-tech giant Epic shares her predictions for how US healthcare will change after the coronavirus",2020-04-23 16:59:00 UTC,Business Insider on MSN.com,https://www.msn.com/en-us/money/news/bankruptcies-tech-savvy-doctors-and-data-for-the-greater-good-the-ceo-of-health-tech-giant-epic-shares-her-predictions-for-how-us-healthcare-will-change-after-the-coronavirus/ar-BB136BEu,doctors coronavirus change
7,Coronavirus Treatment: Doctors Find Nasal Cannulas A Better Alternative To Ventilators,2020-04-27 04:44:00 UTC,International Business Times,https://www.ibtimes.com/coronavirus-treatment-doctors-find-nasal-cannulas-better-alternative-ventilators-2965660,doctors coronavirus alternative
8,U of C doctors find effective ventilator alternative for coronavirus patients,2020-04-25 10:44:00 UTC,Chicago Sun-Times,https://chicago.suntimes.com/coronavirus/2020/4/25/21236187/coronavirus-uchicago-medicine-cannulas-ventilator-alternative-hospital-covid-19,doctors coronavirus alternative
9,Alternative Care Sites Downsized As Hospitals Treat Coronavirus Patients,2020-05-08 16:22:00 UTC,CBS Denver,https://denver.cbslocal.com/video/4543124-alternative-care-sites-downsized-as-hospitals-treat-coronavirus-patients/,hospitals coronavirus alternative
10,"State, federal government racing to add alternative care sites to support hospitals in coronavirus surge",2020-04-02 18:46:00 UTC,The Daily Item,https://www.dailyitem.com/news/local_news/state-federal-government-racing-to-add-alternative-care-sites-to-support-hospitals-in-coronavirus-surge/article_3b0c711c-522c-5d13-8e4e-e9fe60ff9bb4.html,hospitals coronavirus alternative
11,Hospitals Create Alternative Care Space For Coronavirus Testing And Treatment,2020-03-17 02:22:00 UTC,CBS Boston,https://boston.cbslocal.com/video/4483969-hospitals-create-alternative-care-space-for-coronavirus-testing-and-treatment/,hospitals coronavirus alternative
12,Coronavirus pandemic prompted creative thinking and innovation at Henry Ford hospitals,2020-07-20 03:33:00 UTC,Detroit Free Press,https://www.freep.com/story/news/health/2020/07/20/coronavirus-pandemic-drives-medical-innovation-forward-henry-ford/5386284002/,hospitals coronavirus creative
13,Coronavirus: Chaplains at Columbus hospitals find creative ways to care for patients,2020-05-17 01:06:00 UTC,Columbus Dispatch,https://www.dispatch.com/news/20200517/coronavirus-chaplains-at-columbus-hospitals-find-creative-ways-to-care-for-patients,hospitals coronavirus creative
14,"Hospitals Get Creative To Solve Face Mask, Shield Shortage During Coronavirus Pandemic",2020-04-16 20:55:00 UTC,CBS Denver,https://denver.cbslocal.com/2020/04/16/coronavirus-mask-shield-good-samaritan-hospital/,hospitals coronavirus creative
15,Expectant moms forced to get creative as coronavirus bears down on LA hospitals,2020-04-02 03:31:00 UTC,Los Angeles Times on MSN.com,https://www.msn.com/en-us/news/us/expectant-moms-forced-to-get-creative-as-coronavirus-bears-down-on-la-hospitals/ar-BB124dt6,hospitals coronavirus creative
16,Pregnant women forced to get creative as coronavirus bears down on L.A. hospitals,2020-04-01 17:16:00 UTC,YAHOO!,https://news.yahoo.com/expectant-moms-forced-creative-coronavirus-120013843.html,hospitals coronavirus creative
