,Title,Datetime,Source,URL
0,Medtech assessor Elektra Labs is offering free evaluations of COVID-19 biosensors to doctors,2020-06-29T13:42:55Z,TechCrunch,http://techcrunch.com/2020/06/29/medtech-assessor-elektra-labs-is-offering-free-evaluations-of-covid-19-biosensors-to-doctors/
1,Coronavirus: Brazil judge orders Bolsonaro to publish full data,2020-06-09T19:29:41Z,BBC News,https://www.bbc.co.uk/news/world-latin-america-52980642
2,Use AI responsibly to uplift historically disenfranchised people during COVID-19,2020-06-22T14:15:08Z,TechCrunch,http://techcrunch.com/2020/06/22/use-ai-responsibly-to-uplift-historically-disenfranchised-people-during-covid-19/
3,What Technology Has Accidentally Killed the Most People?,2020-06-15T12:00:00Z,Gizmodo.com,https://gizmodo.com/what-technology-has-accidentally-killed-the-most-people-1843750086
4,Health Care Workers Protect Us. It’s Time to Protect Them.,2020-06-19T12:05:44Z,Harvard Business Review,https://hbr.org/2020/06/health-care-workers-protect-us-its-time-to-protect-them
5,"How the coronavirus will permanently reshape the healthcare industry, according to 26 top industry leaders",2020-06-24T14:50:00Z,Business Insider,https://www.businessinsider.com/whats-next-ceos-future-leaders-200-healthcare-covid-19-2020-5
6,"Special Report: As world approaches 10 million coronavirus cases, doctors see hope in new treatments - Reuters",2020-06-26T11:12:00Z,Reuters,https://www.reuters.com/article/us-health-coronavirus-lessons-special-re-idUSKBN23X1I5
7,"If the Tories believe in ‘levelling up', why not level up pay for outsourced NHS staff? | Polly Toynbee",2020-06-30T11:00:51Z,Theguardian.comcommentisfree,https://amp.theguardian.comcommentisfree/2020/jun/30/tories-pay-outsourced-nhs-staff-covid-19-bailouts
8,BAME care home residents in UK more likely to die of Covid-19,2020-06-17T15:18:29Z,Theguardian.comworld,https://amp.theguardian.comworld/2020/jun/17/bame-care-home-residents-in-uk-more-likely-to-die-of-covid-19
9,"SPECIAL REPORT-As world approaches 10 million coronavirus cases, doctors see hope in new treatments, lessons learned - Reuters",2020-06-26T11:02:00Z,Reuters,https://www.reuters.com/article/health-coronavirus-lessons-idUSL1N2E22DG
10,Dystopia or utopia? The future of cities could go either way | Chris Michael,2020-06-25T12:27:38Z,Theguardian.comcommentisfree,https://amp.theguardian.comcommentisfree/2020/jun/25/dystopia-or-utopia-the-future-of-cities-could-go-either-way
11,"As coronavirus cases surge to a record, the Trump administration's top doctor says some places likely opened up too early",2020-06-27T16:57:00Z,Business Insider,https://www.businessinsider.com/surgeon-general-some-places-may-have-reopened-too-early-2020-6
12,The Impacts of COVID-19 on Sustainability and Technology,2020-06-06T18:00:44Z,ReadWrite,https://readwrite.com/2020/06/06/the-impacts-of-covid-19-on-sustainability-and-technology/
13,Mental Health Challenges You Might Not Realize Are Pandemic-Related,2020-06-27T21:37:09Z,Yahoo Entertainment,https://news.yahoo.com/mental-health-challenges-might-not-213709707.html
14,'Missing’ COVID Deaths Raise Questions About India’s Tracking of the Outbreak,2020-06-12T14:39:19Z,Vice News,https://www.vice.com/en_us/article/3azdv3/missing-covid-deaths-raise-questions-about-indias-tracking-of-the-outbreak
15,Helping patients where they are: An interview with the president of CVS Caremark,2020-07-01T00:00:00Z,Mckinsey.com,https://www.mckinsey.com/industries/healthcare-systems-and-services/our-insights/helping-patients-where-they-are-an-interview-with-the-president-of-cvs-caremark
16,Six Lessons Learned To Get Ready For The Next Wave Of COVID,2020-06-27T00:12:04Z,Medium,https://medium.com/@dpatil/6-lessons-learned-to-get-ready-for-the-next-wave-of-covid-ee595766d4cb
17,Why COVID-19 Makes People Lose Their Sense of Smell,2020-06-13T16:00:00Z,Scientific American,https://www.scientificamerican.com/article/why-covid-19-makes-people-lose-their-sense-of-smell/
18,Why COVID-19 Makes People Lose Their Sense of Smell,2020-06-13T16:00:00Z,Scientific American,https://www.scientificamerican.com/article/why-covid-19-makes-people-lose-their-sense-of-smell1/
19,How medical racism explains Covid-19 in America,2020-06-02T16:00:00Z,Vox,https://www.vox.com/2020/6/2/21277987/coronavirus-in-black-people-covid-19-testing-treatment-medical-racism
20,Meet the engineer behind China’s first robot-run coronavirus ward,2020-06-24T00:00:00Z,Nature.com,https://www.nature.com/articles/d41586-020-01794-8?utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%3A+nature%2Frss%2Fcurrent+%28Nature+-+Issue%29
21,US bought nearly the entire supply of a key coronavirus drug,2020-07-02T21:08:55Z,BGR,https://bgr.com/2020/07/02/coronavirus-treatment-remdesivir-us-buys-gilead-three-months-supply/
22,Meet the engineer behind China’s first robot-run coronavirus ward,2020-06-24T00:00:00Z,Nature.com,https://www.nature.com/articles/d41586-020-01794-8
23,"Spiking numbers, opening venues, guarding beaches: News from around our 50 states",2020-06-17T07:34:48Z,USA Today,https://www.usatoday.com/story/news/50-states/2020/06/17/spiking-numbers-opening-venues-guarding-beaches-news-around-states/111975944/
24,Explained: The drugs India is fighting Covid with,2020-06-08T22:45:12Z,The Indian Express,https://indianexpress.com/article/explained/the-drugs-india-is-fighting-covid-with-6449377/
25,Why the coronavirus has taken so many lives in US nursing homes,2020-06-03T19:30:00Z,Vox,https://www.vox.com/2020/6/3/21279431/nursing-homes-coronavirus-covid-19-deaths-cuomo-cdc
26,"Jobbie Nooner, blowback at bars, fake mask exemptions: News from around our 50 states",2020-06-29T08:58:41Z,USA Today,https://www.usatoday.com/story/news/50-states/2020/06/29/jobbie-nooner-blowback-bars-fake-mask-exemptions-news-around-states/112040286/
27,Pakistan's Covid-19 survivors earn small fortune in black market plasma trade,2020-06-17T16:04:25Z,Telegraph.co.uk,https://www.telegraph.co.uk/news/2020/06/17/pakistans-covid-19-survivors-earn-small-fortune-black-market/
28,The robot recruits in China’s health-care system,2020-06-24T00:00:00Z,Nature.com,https://www.nature.com/articles/d41586-020-01793-9?utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%3A+nature%2Frss%2Fcurrent+%28Nature+-+Issue%29
29,Covid-19 news: Leicester faces prolonged lockdown after local outbreak,2020-06-29T17:00:39Z,New Scientist,https://www.newscientist.com/article/2237475-covid-19-news-leicester-faces-prolonged-lockdown-after-local-outbreak/
30,"Tattoos, masks, telemedicine, Yellowstone: News from around our 50 states",2020-06-23T08:02:01Z,USA Today,https://www.usatoday.com/story/news/50-states/2020/06/23/tattoos-masks-telemedicine-yellowstone-news-around-states/111998506/
31,The robot recruits in China’s health-care system,2020-06-24T00:00:00Z,Nature.com,https://www.nature.com/articles/d41586-020-01793-9
32,Virginia Democrats Could Elect The First Black Physician To Congress,2020-06-16T21:04:52Z,HuffPost,https://www.huffpost.com/entry/cameron-webb-first-black-physician-virginia-democrats_n_5ee91770c5b6b6d8fb99bc2d
33,Covid-19 news: UK’s local coronavirus hotspots revealed,2020-07-01T17:00:39Z,New Scientist,https://www.newscientist.com/article/2237475-covid-19-news-uks-local-coronavirus-hotspots-revealed/
34,12 Business Leaders on Rebuilding in the Post-Pandemic Economy,2020-06-25T15:00:00Z,Medium,https://medium.com/authority-magazine/12-business-leaders-share-how-they-plan-to-rebuild-in-the-post-pandemic-economy-1d8e31cca6bd
35,"Delhi: Bed shortage in first week of June, under control now, not sitting idle, says CM",2020-06-26T21:57:45Z,The Indian Express,https://indianexpress.com/article/cities/delhi/delhi-bed-shortage-in-first-week-of-june-under-control-now-not-sitting-idle-says-cm-6478296/
36,Doctors are mixing a new drug with Coca Cola to help cure coronavirus patients,2020-06-10T13:54:09Z,BGR,https://bgr.com/2020/06/10/coronavirus-treatment-severe-covid-19-btk-inhibitor-acalabrutinib-calquence/
37,Covid-19 news: App identified Leicester as a virus hotspot weeks ago,2020-07-01T17:00:39Z,New Scientist,https://www.newscientist.com/article/2237475-covid-19-news-app-identified-leicester-as-a-virus-hotspot-weeks-ago/
38,Health Care Analytics And Hospital Efficiency: Ideas For The Post-Pandemic 'New Normal',2020-06-08T11:50:00Z,Forbes,https://www.forbes.com/sites/forbestechcouncil/2020/06/08/health-care-analytics-and-hospital-efficiency-ideas-for-the-post-pandemic-new-normal/
39,Parents: Beware of this COVID-linked syndrome in kids,2020-06-30T17:32:28Z,Futurity: Research News,https://www.futurity.org/multiple-inflammatory-syndrome-mis-c-in-children-2395872/
40,Over 200 positive cases so far; junior doctors in Hyderabad have fear at back of minds,2020-06-16T14:04:55Z,The Indian Express,https://indianexpress.com/article/cities/hyderabad/hyderabad-coronavirus-update-over-200-positive-cases-junior-doctors-have-fear-at-back-of-minds-6462053/
41,Why steroids not recommended in Singapore treatment of COVID-19 patients despite 'major breakthrough' in UK,2020-06-22T09:30:38Z,CNA,https://www.channelnewsasia.com/news/singapore/covid-19-cases-singapore-steroid-treatment-dexamethasone-12858534
42,The Hackaday Prize: Field Ready Is Changing the Face of Humanitarian Relief,2020-06-09T18:31:22Z,Hackaday,https://hackaday.com/2020/06/09/the-hackaday-prize-field-ready-is-changing-the-face-of-humanitarian-relief/
43,ICMR to revise treatment protocol for Covid-19 patients,2020-06-10T20:54:43Z,The Indian Express,https://indianexpress.com/article/india/icmr-to-revise-treatment-protocol-for-covid-19-patients-6453195/
44,Beware the illusion of certainty: it can be weaponized,2020-06-09T00:00:00Z,Nature.com,https://www.nature.com/articles/d41586-020-01680-3?utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%3A+nature%2Frss%2Fcurrent+%28Nature+-+Issue%29
45,"Biotechnology In the Time of COVID-19: Past, Present, and Future",2020-06-08T06:37:36Z,Forbes,https://www.forbes.com/sites/alexzhavoronkov/2020/06/08/biotechnology-in-the-time-of-covid-19-past-present-and-future/
46,Beware the illusion of certainty: it can be weaponized,2020-06-09T00:00:00Z,Nature.com,https://www.nature.com/articles/d41586-020-01680-3
