,Title,Datetime,Source,URL,Search
0,Medical group acquires more Philadelphia-area practices as Covid-19 pushes doctors to retire,2020-07-14T09:40:00Z,Triangle Business Journal,https://www.bizjournals.com/philadelphia/news/2020/07/14/pa-dermatology-partners-expansion-covid-19-phila.html?ana=RSS&s=article_search&utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%3A+bizj_philadelphia+%28Philadelphia+Business+Journal%29,+doctors AND +covid AND +practices
2,Stroke doctors establish best practices to protect against COVID-19,2020-05-07T18:53:51Z,Science Daily,https://www.sciencedaily.com/releases/2020/05/200507145351.htm,+doctors AND +covid AND +practices
4,Half of doctors aren’t sure if they’ll have the money to keep their practices open due to COVID-19,2020-04-20T07:18:34Z,Fast Company,https://www.fastcompany.com/90493281/half-of-doctors-arent-sure-if-theyll-have-the-money-to-keep-their-practices-open-due-to-covid-19?partner=feedburner&utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%3A+fastcompany%2Fheadlines+%28Fast+Company%29,+doctors AND +covid AND +practices
7,"As Doctors’ Offices Ease COVID-19 Restrictions in the US, Elective Procedures Are Surging, According to US Non-Frontline Treating Specialists in Latest InCrowd Report",2020-07-02T13:54:43Z,Business Wire,https://www.businesswire.com/news/home/20200702005307/en/Doctors%E2%80%99-Offices-Ease-COVID-19-Restrictions-Elective-Procedures,+doctors AND +covid AND +procedures
8,"Coronavirus updates: 8 residents at Spring Arbor die from COVID-19; Virginia doctors, dentist resume non-emergency procedures",2020-05-01T11:28:46Z,8News,https://www.wric.com/health/coronavirus/coronavirus-updates-8-residents-at-spring-arbor-die-from-covid-19-virginia-doctors-dentist-resume-non-emergency-procedures/,+doctors AND +covid AND +procedures
9,Doctors seek new solutions for helping seriously ill Covid-19 patients,2020-04-23T01:31:39Z,The Irish Times,https://www.irishtimes.com/news/health/doctors-seek-new-solutions-for-helping-seriously-ill-covid-19-patients-1.4235156,+doctors AND +covid AND +solutions
10,Doctors turn to social media to develop COVID-19 solutions in real time - PostBulletin.com,2020-03-29T13:00:00Z,PostBulletin.com,https://www.postbulletin.com/life/health/doctors-turn-to-social-media-to-develop-covid--solutions/article_3bbf7bf4-710f-11ea-83f8-cb23cbde6792.html,+doctors AND +covid AND +solutions
11,Doctors Have Some Unusual Tips For How To Have Sex During The Covid-19 Pandemic,2020-06-03T12:27:51Z,IFLScience,https://www.iflscience.com/health-and-medicine/doctors-have-some-unusual-tips-for-how-to-have-sex-during-the-covid19-pandemic/,+doctors AND +covid AND +unusual
12,"'COVID Toes,' blisters, and splotchy red skin: Doctors share the new and unusual coronavirus symptoms they're seeing in patients",2020-05-20T12:55:00Z,Business Insider Australia,https://www.businessinsider.com.au/unusual-skin-problems-coronavirus-symptoms-rash-toes-blister-2020-5,+doctors AND +covid AND +unusual
14,"Seniors with COVID-19 show unusual symptoms, doctors say",2020-05-03T03:42:08Z,The Jerusalem Post,https://www.jpost.com/health-science/seniors-with-covid-19-show-unusual-symptoms-doctors-say-626691,+doctors AND +covid AND +unusual
15,Seniors with Covid-19 show unusual symptoms -- doctors - INQUIRER.net,2020-04-25T11:12:42Z,Slashdot.org,https://slashdot.org/firehose.pl?op=view&amp;id=129722766,+doctors AND +covid AND +unusual
16,"Seniors with COVID-19 show unusual symptoms, doctors say - Raw Story",2020-04-25T00:52:06Z,Slashdot.org,https://slashdot.org/firehose.pl?op=view&amp;id=129679342,+doctors AND +covid AND +unusual
17,"Seniors With COVID-19 Show Unusual Symptoms, Doctors Say - Kaiser Health News",2020-04-24T17:12:30Z,Slashdot.org,https://slashdot.org/firehose.pl?op=view&amp;id=129647356,+doctors AND +covid AND +unusual
18,"Seniors with Covid-19 show unusual symptoms, doctors say - WRCB-TV",2020-04-24T10:52:21Z,Slashdot.org,https://slashdot.org/firehose.pl?op=view&amp;id=129620268,+doctors AND +covid AND +unusual
20,"Seniors With COVID-19 Show Unusual Symptoms, Doctors Say",2020-04-24T09:00:14Z,Kaiser Health News,https://khn.org/news/seniors-with-covid-19-show-unusual-symptoms-doctors-say/,+doctors AND +covid AND +unusual
21,"Seniors with Covid-19 show unusual symptoms, doctors say - The Mercury News",2020-04-23T12:40:07Z,The Mercury News,https://www.mercurynews.com/seniors-with-covid-19-show-unusual-symptoms-doctors-say,+doctors AND +covid AND +unusual
22,"Seniors with COVID-19 show unusual symptoms, doctors say - KOMU 8",2020-04-23T11:23:09Z,KOMU 8,https://www.komu.com/news/seniors-with-covid-19-show-unusual-symptoms-doctors-say,+doctors AND +covid AND +unusual
24,"Seniors with Covid-19 show unusual symptoms, doctors say",2020-04-23T08:35:58Z,CNN,https://www.cnn.com/2020/04/23/health/seniors-elderly-coronavirus-symptoms-wellness-partner/index.html,+doctors AND +covid AND +unusual
25,"COVID-19: Enugu Monarch urges FG to consult native doctors, soothsayers for solution",2020-03-27T13:08:48Z,Vanguard,https://www.vanguardngr.com/2020/03/covid-19-enugu-monarch-urges-fg-to-consult-native-doctors-soothsayers-for-solution/,+doctors AND +covid AND +solution
26,Doctors join forces in creative ways to help you understand Covid-19 information,2020-05-14T16:15:00Z,WGN TV Chicago,https://wgntv.com/midday-news/doctors-join-forces-in-creative-ways-to-help-you-understand-covid-19-information/,+doctors AND +covid AND +creative
27,City of Hope Doctors Lead Novel Clinical Trial to Treat Cancer Patients with COVID-19,2020-09-01T19:05:47Z,Business Wire,https://www.businesswire.com/news/home/20200901006006/en/City-Hope-Doctors-Lead-Clinical-Trial-Treat,+doctors AND +covid AND +novel
28,"Stanford doctors take aim at former colleague Scott Atlas, Trump's new adviser on the COVID-19 pandemic (Lisa M. Krieger/Mercury News)",2020-09-13T04:05:01Z,Memeorandum.com,https://www.memeorandum.com/200913/p1,+doctors AND +covid AND +new
29,The FDA's new app for frontline doctors could help discover Covid-19 treatments faster,2020-09-09T08:28:46Z,CNN,https://www.cnn.com/2020/09/09/health/fda-cure-id-app-wellness/index.html,+doctors AND +covid AND +new
30,The hottest new amenity for the rich? On-demand doctors and COVID-19 tests,2020-09-09T08:00:09Z,Fast Company,https://www.fastcompany.com/90545595/the-hottest-new-amenity-for-the-rich-on-demand-doctors-and-covid-tests,+doctors AND +covid AND +new
32,Philips’ Future Health Index 2020 report reveals new insights into younger doctors’ commitment to improving healthcare during COVID-19,2020-09-08T08:00:00Z,Yahoo Entertainment,https://news.yahoo.com/philips-future-health-index-2020-080000132.html,+doctors AND +covid AND +new
33,"As flu season nears, new test could let doctors diagnose COVID-19 or flu at once - 10 Tampa Bay",2020-09-08T03:15:14Z,Google News,https://news.google.com/__i/rss/rd/articles/CBMiK2h0dHBzOi8vd3d3LnlvdXR1YmUuY29tL3dhdGNoP3Y9ZExRdm1wNkNXbVXSAQA?oc=5,+doctors AND +covid AND +new
34,Miami doctors find new COVID-19 detection sign that could save lives,2020-09-04T21:14:07Z,WPLG Local 10,https://www.local10.com/health/2020/09/04/miami-doctors-find-new-covid-19-detection-sign-that-could-save-lives/,+doctors AND +covid AND +new
35,"Too much turmeric, methi, vitamin D — Doctors fight new emergencies driven by Covid fear",2020-09-04T07:26:10Z,ThePrint,https://theprint.in/health/too-much-turmeric-methi-vitamin-d-doctors-fight-new-emergencies-driven-by-covid-fear/495557/,+doctors AND +covid AND +new
36,New Milestone! Asia's First Lung Transplant Performed By Chennai Doctors On COVID-19 Survivor,2020-08-29T09:40:50Z,The Times of India,https://www.indiatimes.com/news/chennai-doctors-perform-asia-first-lung-transplant-on-covid-survivor-521528.html,+doctors AND +covid AND +new
37,Israeli doctors to ‘zap’ COVID-19 patients back to health in new treatment,2020-08-27T15:46:08Z,The Jerusalem Post,https://www.jpost.com/health-science/israeli-doctors-to-zap-covid-19-patients-back-to-health-in-new-treatment-640188,+doctors AND +covid AND +new
38,Zimbabwe: Decrease in New Covid-19 Cases Could be a Result of Slowed Down Testing - Doctors,2020-08-27T09:21:08Z,AllAfrica - Top Africa News,https://allafrica.com/stories/202008270327.html,+doctors AND +covid AND +new
