,Title,Datetime,Source,URL
0,Honduras President With COVID-19 and Pneumonia Is Improving,2020-06-24T17:50:05+0000,New York Times,https://www.nytimes.com/aponline/2020/06/24/world/americas/ap-lt-virus-outbreak-honduras-president.html
1,Two Huge Covid-19 Studies Are Retracted After Scientists Sound Alarms,2020-06-04T22:46:37+0000,New York Times,https://www.nytimes.com/2020/06/04/health/coronavirus-hydroxychloroquine.html
2,The Infection That’s Silently Killing Coronavirus Patients,2020-04-20T19:00:10+0000,New York Times,https://www.nytimes.com/2020/04/20/opinion/sunday/coronavirus-testing-pneumonia.html
3,"At the Top of the Covid-19 Curve, How Do Hospitals Decide Who Gets Treatment?",2020-03-31T21:11:35+0000,New York Times,https://www.nytimes.com/2020/03/31/us/coronavirus-covid-triage-rationing-ventilators.html
4,Here’s What Recovery From Covid-19 Looks Like for Many Survivors,2020-07-01T19:42:53+0000,New York Times,https://www.nytimes.com/2020/07/01/health/coronavirus-recovery-survivors.html
5,"Hope, and New Life, in a Brooklyn Maternity Ward Fighting Covid-19",2020-04-12T09:01:15+0000,New York Times,https://www.nytimes.com/2020/04/12/nyregion/coronavirus-births-mothers.html
6,Breakthrough Drug for Covid-19 May Be Risky for Mild Cases,2020-06-24T23:26:38+0000,New York Times,https://www.nytimes.com/2020/06/24/health/coronavirus-dexamethasone.html
7,"Arthritis Drug Did Not Help Seriously Ill Covid Patients, Early Data Shows",2020-04-27T17:55:36+0000,New York Times,https://www.nytimes.com/2020/04/27/health/coronavirus-drug-sarilumab.html
8,The Real Tragedy of Not Having Enough Covid-19 Tests,2020-04-06T09:00:14+0000,New York Times,https://www.nytimes.com/2020/04/06/opinion/coronavirus-testing.html
9,Children Are Falling Ill With a Baffling Ailment Related to Covid-19,2020-05-05T23:18:16+0000,New York Times,https://www.nytimes.com/2020/05/05/nyregion/kawasaki-disease-coronavirus.html
10,Boris Johnson Leaves U.K. Hospital After Coronavirus Treatment,2020-04-12T12:34:48+0000,New York Times,https://www.nytimes.com/2020/04/12/world/europe/boris-johnson-coronavirus.html
11,"Malaria Drug Promoted by Trump Did Not Prevent Covid Infections, Study Finds",2020-06-03T19:03:47+0000,New York Times,https://www.nytimes.com/2020/06/03/health/hydroxychloroquine-coronavirus-trump.html
12,Nurses and Doctors Speaking Out on Safety Now Risk Their Job,2020-04-09T17:43:16+0000,New York Times,https://www.nytimes.com/2020/04/09/business/coronavirus-health-workers-speak-out.html
13,‘We’re in Disaster Mode’: Courage Inside a Brooklyn Hospital Confronting Coronavirus,2020-03-26T09:00:36+0000,New York Times,https://www.nytimes.com/2020/03/26/nyregion/coronavirus-brooklyn-hospital.html
14,"Malaria Drug Helps Virus Patients Improve, in Small Study",2020-04-01T14:35:57+0000,New York Times,https://www.nytimes.com/2020/04/01/health/hydroxychloroquine-coronavirus-malaria.html
15,Can a Vaccine for Covid-19 Be Developed in Record Time?,2020-06-09T09:00:02+0000,New York Times,https://www.nytimes.com/interactive/2020/06/09/magazine/covid-vaccine.html
16,"Trump Fans Can’t Sue if They Contract Covid-19 at Rallies, Campaign Says",2020-06-11T09:30:26+0000,New York Times,https://www.nytimes.com/2020/06/11/world/coronavirus-live-updates.html
17,He Was a Science Star. Then He Promoted a Questionable Cure for Covid-19.,2020-05-12T09:00:06+0000,New York Times,https://www.nytimes.com/2020/05/12/magazine/didier-raoult-hydroxychloroquine.html
18,"Britain Surpasses 10,000 Coronavirus Deaths as Boris Johnson Leaves Hospital; Pope Speaks of ‘Contagion of Hope’",2020-04-12T04:00:35+0000,New York Times,https://www.nytimes.com/2020/04/12/world/coronavirus-news.html
19,India's First COVID-19 Vaccine Candidate Approved for Human Trials,2020-06-30T05:10:37+0000,New York Times,https://www.nytimes.com/reuters/2020/06/30/world/asia/30reuters-health-coronavirus-india-vaccine.html
209,‘Will You Help Save My Brother?’: The Scramble to Find Covid-19 Plasma Donors,2020-04-29T07:00:07+0000,New York Times,https://www.nytimes.com/2020/04/29/us/coronavirus-plasma-donors.html
240,"Exclusive: Women, Babies at Risk as COVID-19 Disrupts Health Services, World Bank Warns",2020-06-24T08:46:37+0000,New York Times,https://www.nytimes.com/reuters/2020/06/24/world/africa/24reuters-health-coronavirus-women-children-exclusive.html
241,"To Fight Covid-19, Don’t Neglect Immunity and Inflammation",2020-05-25T09:00:15+0000,New York Times,https://www.nytimes.com/2020/05/25/well/live/to-fight-covid-19-dont-neglect-immunity-and-inflammation.html
246,"Just When They’re Needed Most, Clinics for the Poor Face Drastic Cutbacks",2020-04-04T14:07:43+0000,New York Times,https://www.nytimes.com/2020/04/04/us/coronavirus-community-clinics-seattle.html
247,‘A Terrible Price’: The Deadly Racial Disparities of Covid-19 in America,2020-04-29T09:00:14+0000,New York Times,https://www.nytimes.com/2020/04/29/magazine/racial-disparities-covid-19.html
248,Coronavirus as a Reminder of the Urgency of Getting Your Vaccines,2020-04-27T09:00:08+0000,New York Times,https://www.nytimes.com/2020/04/27/well/live/coronavirus-as-a-reminder-of-the-urgency-of-getting-your-vaccines.html
300,"U.S. Democrats Push Election-Year Healthcare, Housing, Infrastructure Bills",2020-06-30T00:19:39+0000,New York Times,https://www.nytimes.com/reuters/2020/06/29/us/politics/29reuters-usa-congress-democrats.html
305,Global COVID-19 Prevention Trial of Hydroxychloroquine to Resume,2020-06-30T07:19:48+0000,New York Times,https://www.nytimes.com/reuters/2020/06/30/world/europe/30reuters-health-coronavirus-hydroxychloroquine-copcov.html
307,Gilead's Remdesivir Set to Become Europe's First COVID-19 Therapy,2020-06-25T12:44:12+0000,New York Times,https://www.nytimes.com/reuters/2020/06/25/us/25reuters-health-coronavirus-gilead-europe.html
308,Antibody Test Accuracy Unclear; COVID-19 Risks Higher for Pregnant Women,2020-06-26T18:58:41+0000,New York Times,https://www.nytimes.com/reuters/2020/06/26/world/europe/26reuters-health-coronavirus-science.html
309,Another Thing to Fear Out There: Coronavirus Scammers,2020-04-05T09:00:10+0000,New York Times,https://www.nytimes.com/2020/04/05/us/politics/coronavirus-scams-fraud-price-gouging.html
