,Title,Datetime,Source,URL
0,"0    10 more coronavirus patients die in Black Coun...
0    Four more coronavirus deaths in Black Country,...
Name: Title, dtype: object","0    2020-05-17T13:58:06.998+0000
0    2020-06-18T16:29:09.735+0000
Name: Datetime, dtype: object","0    Express & Star
0            source
Name: Source, dtype: object","0    https://www.expressandstar.com/news/health/cor...
0    https://www.expressandstar.com/news/health/cor...
Name: URL, dtype: object"
1,Coronavirus fight could delay NHS staff appraisals,2020-06-02T17:32:23.477+0000,Shropshire Star,https://www.shropshirestar.com/news/health/coronavirus-covid19/2020/06/02/coronavirus-fight-could-delay-nhs-staff-appraisals/
2,"3    COVID-19 Call Center is the Place for Grays Ha...
3    UK steroid Dexamethasone shows life-saving qua...
Name: Title, dtype: object","3    2020-03-24T19:16:47.913+0000
3    2020-06-16T23:26:27.051+0000
Name: Datetime, dtype: object","3    graysharbortalk.com/
3       businesstoday.in/
Name: Source, dtype: object","3    http://www.graysharbortalk.com/2020/03/24/covi...
3    https://www.businesstoday.in/sectors/pharma/uk...
Name: URL, dtype: object"
3,"4    GP referrals drop across Black Country and Sta...
4    Covid-19: Shropshire hospital staff ' delighte...
Name: Title, dtype: object","4    2020-05-27T05:08:59.719+0000
4    2020-06-17T14:42:03.079+0000
Name: Datetime, dtype: object","4     Express & Star
4    Shropshire Star
Name: Source, dtype: object","4    https://www.expressandstar.com/news/health/cor...
4    https://www.shropshirestar.com/news/health/cor...
Name: URL, dtype: object"
4,Coronavirus: Scientists describe how and where to allocate stockpiled ventilators during a pandemic,2020-03-22T09:06:45.736+0000,The Financial Express,https://www.financialexpress.com/lifestyle/health/coronavirus-scientists-describe-how-and-where-to-allocate-stockpiled-ventilators-during-a-pandemic/1905915/
5,International Medical Corps and MediSys Health Network Hospitals Partner to Respond to COVID-19,2020-04-10T02:23:27.586+0000,PressReleasePoint | Free Press Release Distribution Website | Submit Press Releases,https://www.pressreleasepoint.com/international-medical-corps-and-medisys-health-network-hospitals-partner-respond-covid-19
6,"8     W.H.O declares Europe the new COVID-19 epicentre
8    Hospitals Call for Delay of Price Transparency...
Name: Title, dtype: object","8    2020-03-13T22:32:47.387+0000
8    2020-07-02T13:13:26.190+0000
Name: Datetime, dtype: object","8          The Daily Telegraph
8    revcycleintelligence.com/
Name: Source, dtype: object","8    https://www.dailytelegraph.com.au/news/world/w...
8    https://revcycleintelligence.com/news/hospital...
Name: URL, dtype: object"
7,W.H.O declares Europe the new COVID-19 epicentre,2020-03-13T22:01:31.228+0000,Herald Sun,https://www.heraldsun.com.au/news/world/who-declares-europe-the-new-covid19-epicentre/video/ef4181c6d42b8ee890c49781f2ea971a
8,US Army Reserve FEST members assist USACE’s COVID19 response projects for Navajo Nation,2020-05-01T03:38:06.111+0000,DVIDS,https://www.dvidshub.net/news/368960/us-army-reserve-fest-members-assist-usaces-covid19-response-projects-navajo-nation
9,Zensors Offers AI Platform to Assist Cities & Businesses with Social Distancing Compliance for COVID-19,2020-03-19T02:13:07.883+0000,getnews.info/,http://www.getnews.info/1015875/zensors-offers-ai-platform-to-assist-cities-businesses-with-social-distancing-compliance-for-covid19.html
